support,itemsets
0.02353256610155509,frozenset({'Hixie'})
0.016073368257503884,frozenset({'P0'})
0.022150723920306894,frozenset({'P1'})
0.0881422816208115,frozenset({'P2'})
0.04230774519105171,frozenset({'P3'})
0.015159014973394383,frozenset({'a: accessibility'})
0.017015220888503896,frozenset({'a: desktop'})
0.010401627961335919,frozenset({'a: internationalization'})
0.01001663710486876,frozenset({'a: quality'})
0.027808714543029602,frozenset({'a: tests'})
0.03481417316338737,frozenset({'a: text input'})
0.06577156292538053,frozenset({'autosubmit'})
0.034181688184905606,frozenset({'c: crash'})
0.011185359347715492,frozenset({'c: flake'})
0.04758074495730726,frozenset({'c: new feature'})
0.014870271831044012,frozenset({'c: performance'})
0.03414731400129247,frozenset({'c: proposal'})
0.016355236563131627,frozenset({'c: regression'})
0.011694097265189952,frozenset({'c: tech-debt'})
0.019978275515956496,frozenset({'d: api docs'})
0.01306906460971552,frozenset({'d: examples'})
0.011309106408722793,frozenset({'dependency: dart'})
0.107824939157695,frozenset({'engine'})
0.12605700614610402,frozenset({'engine-flutter-autoroll'})
0.01812206960084698,frozenset({'f: cupertino'})
0.0849798567284027,frozenset({'f: material design'})
0.021030125534518555,frozenset({'f: scrolling'})
0.010216007369824967,frozenset({'fluttergithubbot'})
0.19666157928749192,frozenset({'framework'})
0.011137235490657097,frozenset({'goderbauer'})
0.059652958242241746,frozenset({'has reproducible steps'})
0.03952343631838744,frozenset({'in triage'})
0.013694674751474652,frozenset({'jmagman'})
0.025925009281029577,frozenset({'jonahwilliams'})
0.04978069270854817,frozenset({'package'})
0.0351922891831319,frozenset({'platform-android'})
0.041152772621650235,frozenset({'platform-ios'})
0.029493049540073424,frozenset({'platform-web'})
0.010600998226292126,frozenset({'platform-windows'})
0.03446355649053335,frozenset({'r: duplicate'})
0.029651170784693863,frozenset({'r: fixed'})
0.04488580896203715,frozenset({'r: invalid'})
0.015062767259277592,frozenset({'r: solved'})
0.013502179323241072,frozenset({'r: timeout'})
0.06439659558085495,frozenset({'team'})
